ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_46_KR,1,2,55,10,2,-3.36051250976095,-2.87439836736666,6.30886717465761,217.942708333333,150,0.141509433962264,0.066079295154185
01_46_KR,1,2,55,10,4,-4.0708970524015,-2.84447756757845,15.1012332750747,235.370964403974,151,0.173553719008264,0.0817120622568093
01_47_KG,1,2,34,12,1,-3.38325769081456,-2.77708576794987,6.35973201256054,196.812726449275,138,0.0833333333333333,0.04
01_47_KG,1,2,34,12,3,-2.56717309108868,-2.15379474102852,3.27676944643052,168.265964673913,138,0.0357142857142857,0.0175438596491228
01_47_KG,1,2,34,12,2,-4.11125751928435,-2.70683522097602,17.7492146356386,183.176185344828,145,0.10752688172043,0.0531914893617021
01_47_KG,1,2,34,12,4,-3.8675389237699,-2.63155294512971,11.6202391373341,200.837435787671,146,0.161616161616162,0.0792079207920792
01_48_LV,1,2,40,13,1,-1.72527673370726,0.223763987764301,22.4457657795064,139.042541058394,137,0.369230769230769,0.176470588235294
01_48_LV,1,2,40,13,3,-1.49567045419804,0.384915368814174,27.2003328398563,168.241914335664,143,0.439024390243902,0.211764705882353
01_48_LV,1,2,40,13,2,-1.65024255116935,0.495792337375137,13.8823035010535,200.126540492958,142,0.180952380952381,0.0954773869346734
01_48_LV,1,2,40,13,4,-1.25216395436601,0.956632586080725,34.7266253938085,177.734375,139,0.648351648351648,0.322404371584699
01_49_CG,1,2,47,19,1,-5.34168232533752,-1.75920821057147,42.1211376704165,167.252604166667,150,1.08571428571429,0.395833333333333
01_49_CG,1,2,47,19,3,-5.18923143518283,-1.88291574208853,18.7438251624485,152.646169354839,155,0.397260273972603,0.184713375796178
01_49_CG,1,2,47,19,2,-6.63877498782653,-2.50374552537428,18.6311660919671,161.711285828025,157,0.185185185185185,0.0920245398773006
01_49_CG,1,2,47,19,4,-6.02500258984379,-1.50834021185453,31.0110835278921,156.097808441558,154,0.518987341772152,0.275167785234899
01_50_ND,1,2,30,11,1,-4.48535565839439,-3.09800943551152,5.54074865417637,230.268086472603,146,0.0956521739130435,0.0472103004291846
01_50_ND,1,2,30,11,3,-3.52011571875122,-2.11308962491369,20.6680900722095,180.473993288591,149,0.432098765432099,0.181347150259067
01_50_ND,1,2,30,11,2,-4.94625049452973,-2.94976437379647,15.3318125324537,204.79525862069,145,0.212962962962963,0.113300492610837
